Tempo; Valor
2,68910005;223,0585337
2,6900804;220,9473937
2,69106075;217,6918153
2,6920411;215,0731116
2,69302145;214,8305024
2,6940018;217,7574927
2,69498215;223,3146087
2,6959625;229,9068905
2,69694285;235,6172787
2,6979232;239,0295282
2,69890355;239,6803179
2,6998839;237,9068996
2,70086425;234,4254388
2,7018446;230,1226117
2,70282495;226,1177274
2,7038053;223,7981741
2,70478565;224,4712206
2,705766;228,5814325
2,70674635;235,0840227
2,7077267;241,6956054
2,70870705;245,9469083
2,7096874;246,2898802
2,71066775;242,7417055
2,7116481;236,9589356
2,71262845;231,625341
2,7136088;229,2490092
2,71458915;231,0112338
2,7155695;236,2739609
2,71654985;242,9048349
2,7175302;248,3750963
2,71851055;251,143033
2,7194909;251,3245173
2,72047125;250,1904539
2,7214516;249,1477106
2,72243195;249,0370934
2,7234123;249,8731888
2,72439265;250,8617684
2,725373;250,8310945
2,72635335;249,0783167
2,7273337;246,0506132
2,72831405;243,2838632
2,7292944;242,6458867
2,73027475;245,2849404
2,7312551;250,7520332
2,73223545;257,0107544
2,7332158;261,724281
2,73419615;263,8802748
2,7351765;264,2349356
2,73615685;264,2938062
2,7371372;264,8713178
2,73811755;265,3703737
2,7390979;264,3503223
2,74007825;261,0047206
2,7410586;256,1951612
2,74203895;251,9302706
2,7430193;249,8056461
2,74399965;250,0404886
2,74498;251,8979068
2,74596035;254,6517656
2,7469407;257,9694422
2,74792105;261,6094505
2,7489014;265,0534878
2,74988175;267,4885311
2,7508621;268,1015704
2,75184245;266,4780281
2,7528228;262,9659056
2,75380315;258,8124363
2,7547835;255,7737525
2,75576385;255,2877046
2,7567442;257,7536268
2,75772455;262,2743508
2,7587049;266,9702599
2,75968525;269,9238857
2,7606656;270,2465927
2,76164595;268,322324
2,7626263;265,1562252
2,76360665;261,7893209
2,764587;259,2724592
2,76556735;258,6617633
2,7665477;260,5974749
2,76752805;264,7990244
2,7685084;269,9650184
2,76948875;274,1962471
2,7704691;275,7665396
2,77144945;273,9137598
2,7724298;269,2973549
2,77341015;263,8400555
2,7743905;259,8781144
2,77537085;259,0282975
2,7763512;261,481799
2,77733155;266,1119775
2,7783119;271,2466305
2,77929225;275,5457401
2,7802726;278,375739
2,78125295;279,671878
2,7822333;279,7669045
2,78321365;279,3013826
2,784194;278,9609574
2,78517435;279,1083486
2,7861547;279,6904572
2,78713505;280,5063798
2,7881154;281,500351
2,78909575;282,754442
2,7900761;284,1710131
2,79105645;285,1968269
2,7920368;285,0510699
2,79301715;283,4225483
2,7939975;280,9737637
2,79497785;279,0737593
2,7959582;278,913625
2,79693855;280,7390744
2,7979189;283,7258081
2,79889925;286,4053619
2,7998796;287,3781083
2,80085995;286,0964672
2,8018403;283,2399339
2,80282065;280,2426134
2,803801;278,2654573
2,80478135;277,4729951
2,8057617;277,1884002
2,80674205;276,7127105
2,8077224;276,0287848
2,80870275;275,7609123
2,8096831;276,5261157
2,81066345;278,3644795
2,8116438;280,6912903
2,81262415;282,6709262
2,8136045;283,7163116
2,81458485;283,8744433
2,8155652;283,8750947
2,81654555;284,6790221
2,8175259;286,6963911
2,81850625;289,2742247
2,8194866;290,9619949
2,82046695;290,4040745
